ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,cluster
10813301,88,53,79,57,63,69,68,47,71,58,71,78,1
10813302,67,75,84,75,75,85,78,68,81,63,77,84,2
10813304,89,60,88,79,70,86,73,69,79,68,68,84,2
10813305,92,80,99,98,88,100,86,97,95,95,89,98,2
10813306,84,78,87,70,60,82,57,76,78,68,77,84,2
10813307,69,63,78,53,65,78,57,64,72,53,67,63,1
10813308,79,63,81,55,55,66,68,64,74,58,70,75,1
10813310,54,55,57,50,25,52,51,42,52,45,60,65,1
10813311,59,70,70,42,50,48,53,43,39,33,21,27,3
10813312,87,58,82,67,55,73,72,69,82,68,80,86,2
10813313,81,68,75,79,58,73,72,66,74,75,65,71,2
10813314,50,50,48,71,76,74,71,75,71,40,46,60,1
10813315,54,38,55,39,30,48,34,33,40,28,44,60,3
10813316,51,60,60,47,40,60,54,58,60,50,67,60,1
10813317,70,60,77,59,43,73,68,58,70,48,47,67,1
10813318,36,55,56,45,40,58,42,31,49,45,60,60,3
10813319,62,43,52,58,50,57,53,56,56,48,62,67,1
10813320,83,73,85,89,75,85,79,73,82,85,71,88,2
10813321,88,70,85,66,70,78,71,84,80,78,62,81,2
10813322,92,73,92,78,70,86,87,87,91,80,73,89,2
10813323,48,68,70,46,65,63,54,53,64,40,38,60,1
10813324,92,90,96,90,85,94,85,76,89,93,77,95,2
10813326,63,53,74,74,58,71,53,65,72,53,41,60,1
10813327,30,30,40,19,25,41,57,62,60,48,37,60,3
10813328,78,83,87,86,80,81,70,74,77,70,80,79,2
10813329,75,68,81,68,53,75,65,56,73,60,59,74,1
10813330,72,63,67,62,63,66,72,57,70,65,70,77,1
10813331,74,73,80,53,75,72,76,85,81,83,77,89,2
10813332,80,80,85,74,68,83,76,92,83,70,94,89,2
10813333,46,45,52,48,48,47,51,56,60,55,58,67,1
10813334,87,75,84,77,65,70,70,78,67,73,76,80,2
10813335,39,48,51,39,20,24,0,0,0,0,0,0,3
10813336,36,38,57,39,33,54,39,39,45,28,33,36,3
10813338,79,80,86,57,60,75,70,65,75,63,74,78,2
10813339,64,55,60,45,43,60,56,49,60,50,44,63,1
10813401,66,53,72,86,58,77,83,73,80,78,60,75,2
10813402,61,73,71,53,53,61,71,68,67,65,62,69,1
10813403,66,50,68,55,45,56,52,63,60,43,59,60,1
10813404,95,75,90,98,75,88,82,95,85,78,83,88,2
10813405,79,60,73,52,40,60,62,77,70,80,65,75,1
10813406,56,58,60,36,23,60,54,73,62,63,62,60,1
10813407,83,63,78,55,68,70,71,77,71,50,77,74,2
10813408,78,68,76,52,65,66,83,71,75,55,77,73,2
10813409,42,53,52,45,40,36,0,0,0,0,0,0,3
10813410,74,73,73,45,68,65,80,69,75,73,68,77,2
10813411,57,58,60,42,45,48,55,47,40,35,27,29,3
10813412,78,68,70,52,50,60,78,83,74,68,68,68,1
10813413,74,75,77,57,53,63,67,66,67,63,68,71,1
10813414,73,68,77,78,75,79,81,81,81,73,76,80,2
10813415,61,58,63,57,40,49,0,0,0,0,0,0,3
10813417,80,65,77,70,65,75,76,82,76,58,86,80,2
10813418,48,60,60,39,43,60,56,54,60,43,47,58,1
10813419,56,55,60,38,50,54,51,43,56,50,50,60,1
10813420,75,65,70,69,65,68,67,61,70,68,71,69,1
10813421,37,30,60,19,30,34,29,36,60,25,44,60,3
10813422,93,75,85,82,78,77,88,89,81,63,71,75,2
10813423,72,68,77,68,58,75,88,77,79,83,83,85,2
10813424,53,53,66,59,60,67,63,71,67,55,71,66,1
10813425,80,73,77,76,68,76,75,73,70,75,70,78,2
10813426,80,43,57,59,60,60,68,76,60,68,77,61,1
10813428,70,53,67,49,38,55,58,46,60,58,56,66,1
10813429,29,28,44,34,40,42,45,46,43,23,36,40,3
10813430,38,38,60,26,35,60,51,32,60,43,44,60,3
10813431,76,63,68,58,65,61,71,64,64,48,62,60,1
10813432,39,35,60,44,50,60,54,52,60,35,56,60,1
10813433,73,70,75,58,53,57,75,74,65,53,56,62,1
10813434,90,83,83,72,68,75,83,87,81,75,80,74,2
10813435,86,78,84,83,85,86,90,88,90,90,91,91,2
10813436,64,65,68,42,50,60,81,65,66,65,70,66,1
10813437,73,80,77,70,55,67,65,79,74,63,70,72,2
10813438,61,55,54,47,48,50,45,59,52,53,50,52,1
