ID,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12
10813301,1,2,3,4,5,6,7,8,9,10,11,12
10813302,1,2,3,4,5,6,7,8,9,10,11,12
10813304,1,2,3,4,5,6,7,8,9,10,11,12
10813305,1,2,3,4,5,6,7,8,9,10,11,12
10813306,1,2,3,4,5,6,7,8,9,10,11,12
10813307,1,2,3,4,5,6,7,8,9,10,11,12
10813308,1,2,3,4,5,6,7,8,9,10,11,12
10813310,1,2,3,4,5,6,7,8,9,10,11,12
10813311,1,2,3,4,5,6,7,8,9,10,11,12
10813312,1,2,3,4,5,6,7,8,9,10,11,12
10813313,1,2,3,4,5,6,7,8,9,10,11,12
10813314,1,2,3,4,5,6,7,8,9,10,11,12
10813315,1,2,3,4,5,6,7,8,9,10,11,12
10813316,1,2,3,4,5,6,7,8,9,10,11,12
10813317,1,2,3,4,5,6,7,8,9,10,11,12
10813318,1,2,3,4,5,6,7,8,9,10,11,12
10813319,1,2,3,4,5,6,7,8,9,10,11,12
10813320,1,2,3,4,5,6,7,8,9,10,11,12
10813321,1,2,3,4,5,6,7,8,9,10,11,12
10813322,1,2,3,4,5,6,7,8,9,10,11,12
10813323,1,2,3,4,5,6,7,8,9,10,11,12
10813324,1,2,3,4,5,6,7,8,9,10,11,12
10813326,1,2,3,4,5,6,7,8,9,10,11,12
10813327,1,2,3,4,5,6,7,8,9,10,11,12
10813328,1,2,3,4,5,6,7,8,9,10,11,12
10813329,1,2,3,4,5,6,7,8,9,10,11,12
10813330,1,2,3,4,5,6,7,8,9,10,11,12
10813331,1,2,3,4,5,6,7,8,9,10,11,12
10813332,1,2,3,4,5,6,7,8,9,10,11,12
10813333,1,2,3,4,5,6,7,8,9,10,11,12
10813334,1,2,3,4,5,6,7,8,9,10,11,12
10813335,1,2,3,4,5,6,7,8,9,10,11,12
10813336,1,2,3,4,5,6,7,8,9,10,11,12
10813338,1,2,3,4,5,6,7,8,9,10,11,12
10813339,1,2,3,4,5,6,7,8,9,10,11,12
10813401,1,2,3,4,5,6,7,8,9,10,11,12
10813402,1,2,3,4,5,6,7,8,9,10,11,12
10813403,1,2,3,4,5,6,7,8,9,10,11,12
10813404,1,2,3,4,5,6,7,8,9,10,11,12
10813405,1,2,3,4,5,6,7,8,9,10,11,12
10813406,1,2,3,4,5,6,7,8,9,10,11,12
10813407,1,2,3,4,5,6,7,8,9,10,11,12
10813408,1,2,3,4,5,6,7,8,9,10,11,12
10813409,1,2,3,4,5,6,7,8,9,10,11,12
10813410,1,2,3,4,5,6,7,8,9,10,11,12
10813411,1,2,3,4,5,6,7,8,9,10,11,12
10813412,1,2,3,4,5,6,7,8,9,10,11,12
10813413,1,2,3,4,5,6,7,8,9,10,11,12
10813414,1,2,3,4,5,6,7,8,9,10,11,12
10813415,1,2,3,4,5,6,7,8,9,10,11,12
10813417,1,2,3,4,5,6,7,8,9,10,11,12
10813418,1,2,3,4,5,6,7,8,9,10,11,12
10813419,1,2,3,4,5,6,7,8,9,10,11,12
10813420,1,2,3,4,5,6,7,8,9,10,11,12
10813421,1,2,3,4,5,6,7,8,9,10,11,12
10813422,1,2,3,4,5,6,7,8,9,10,11,12
10813423,1,2,3,4,5,6,7,8,9,10,11,12
10813424,1,2,3,4,5,6,7,8,9,10,11,12
10813425,1,2,3,4,5,6,7,8,9,10,11,12
10813426,1,2,3,4,5,6,7,8,9,10,11,12
10813428,1,2,3,4,5,6,7,8,9,10,11,12
10813429,1,2,3,4,5,6,7,8,9,10,11,12
10813430,1,2,3,4,5,6,7,8,9,10,11,12
10813431,1,2,3,4,5,6,7,8,9,10,11,12
10813432,1,2,3,4,5,6,7,8,9,10,11,12
10813433,1,2,3,4,5,6,7,8,9,10,11,12
10813434,1,2,3,4,5,6,7,8,9,10,11,12
10813435,1,2,3,4,5,6,7,8,9,10,11,12
10813436,1,2,3,4,5,6,7,8,9,10,11,12
10813437,1,2,3,4,5,6,7,8,9,10,11,12
10813438,1,2,3,4,5,6,7,8,9,10,11,12
