ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
10813301,45,34,62,64,20,66,53,57,67,66,51,60
10813302,55,38,60,61,45,68,24,50,40,50,18,40
10813304,50,75,79,73,40,72,68,70,77,44,65,72
10813305,70,60,79,81,75,89,63,87,87,88,75,79
10813306,75,75,85,76,55,84,80,74,88,94,83,87
10813307,35,15,57,34,25,60,0,0,0,48,40,60
10813308,30,16,57,58,35,60,41,34,57,67,53,60
10813310,35,38,52,26,25,50,30,46,60,50,57,65
10813311,65,40,64,50,50,60,29,41,60,45,37,60
10813312,60,40,64,51,55,76,38,64,69,61,57,71
10813313,15,23,56,25,15,43,4,31,30,20,14,40
10813314,0,12,58,45,62,63,14,30,62,53,51,60
10813315,40,76,78,65,60,79,0,0,0,90,86,90
10813316,35,44,67,33,40,60,32,54,60,60,46,60
10813317,65,61,72,63,30,65,70,54,77,80,53,72
10813318,25,18,55,37,10,55,4,13,30,29,35,60
10813319,30,46,56,49,35,60,26,50,60,53,48,60
10813320,70,79,81,76,80,87,90,70,90,96,90,90
10813321,60,42,66,60,45,77,81,76,85,84,60,75
10813322,95,80,95,80,75,93,95,96,97,100,75,94
10813323,55,46,70,73,55,75,67,68,76,60,66,71
10813324,85,75,85,86,60,87,75,84,91,89,85,92
10813326,65,52,68,67,50,74,51,65,73,82,53,73
10813327,0,4,58,0,0,60,20,30,62,30,30,60
10813328,50,50,70,51,50,68,0,0,0,86,73,78
10813329,75,70,78,77,50,78,51,69,81,63,64,79
10813330,20,32,60,31,25,60,29,10,58,38,60,68
10813331,50,46,66,51,55,69,37,69,70,86,66,83
10813332,40,48,65,72,75,86,81,91,90,92,67,87
10813333,45,30,56,31,25,55,24,51,57,63,45,62
10813334,50,36,60,35,30,60,28,65,57,64,52,60
10813335,30,12,39,16,0,20,0,0,0,0,0,0
10813336,5,8,49,4,15,30,0,31,31,8,9,50
10813338,60,19,61,43,50,60,26,68,67,54,33,70
10813339,75,48,73,76,50,70,42,40,62,48,34,62
10813401,70,48,72,86,65,86,71,82,85,96,75,81
10813402,53,65,68,83,50,68,74,84,77,75,64,71
10813403,85,60,66,83,60,69,42,60,60,63,64,61
10813404,93,83,88,81,75,89,85,100,97,96,82,91
10813405,70,63,68,63,70,69,75,78,86,96,95,86
10813406,73,61,63,75,15,49,67,71,72,91,66,74
10813407,78,66,55,60,45,50,52,60,60,63,38,60
10813408,63,59,65,45,45,64,77,87,87,92,70,76
10813409,65,71,53,70,40,61,0,0,0,0,0,0
10813410,95,83,95,69,95,91,100,90,98,92,86,91
10813411,85,69,62,79,65,66,33,15,33,68,0,18
10813412,78,54,77,74,50,68,70,83,83,92,84,80
10813413,25,22,38,50,35,42,32,41,39,71,39,60
10813414,90,64,79,82,83,83,57,68,79,92,66,79
10813415,85,69,73,57,35,46,0,0,0,0,0,0
10813417,80,35,61,69,63,72,72,71,82,88,65,78
10813418,73,54,61,51,33,54,58,73,68,90,58,73
10813419,55,30,43,21,40,37,32,43,31,84,54,60
10813420,55,32,45,55,35,60,50,53,60,78,45,62
10813421,25,12,19,30,5,17,8,51,20,66,27,35
10813422,93,78,85,73,70,84,76,79,88,92,82,78
10813423,55,31,45,65,50,60,52,72,66,84,59,73
10813424,60,48,60,81,43,60,61,73,76,85,34,60
10813425,100,41,82,85,85,86,80,87,93,92,87,85
10813426,50,19,32,34,5,17,8,41,19,24,15,23
10813428,85,89,85,84,55,69,62,91,76,86,69,78
10813429,10,0,15,0,5,18,0,4,5,20,0,6
10813430,5,12,15,9,0,14,2,18,13,16,6,12
10813431,75,34,41,45,15,35,12,18,18,10,44,27
10813432,70,34,60,50,45,49,54,48,53,64,86,70
10813433,85,83,83,91,78,80,76,74,74,84,62,70
10813434,93,47,70,43,55,54,63,66,63,72,61,62
10813435,48,39,42,59,35,62,59,79,77,90,60,70
10813436,40,30,31,23,10,28,10,22,21,53,37,60
10813437,75,75,74,74,58,72,81,81,79,73,79,81
10813438,65,44,40,51,10,24,17,38,25,50,29,26
