ID,X1,X2,X3,X4,X5,X6,cluster
10913301,89,92,81,72,74,70,1
10913302,79,82,77,60,78,64,3
10913303,78,76,81,64,68,79,1
10913304,63,78,73,40,58,60,2
10913305,73,52,61,38,56,60,2
10913306,80,82,88,80,90,89,1
10913308,65,72,72,52,64,75,1
10913309,78,88,88,56,84,74,2
10913310,46,45,54,46,52,52,1
10913311,37,30,-1,0,0,0,1
10913312,47,46,55,38,52,64,3
10913313,79,87,80,70,82,83,1
10913314,69,62,60,56,54,60,1
10913315,68,54,68,50,46,60,3
10913316,75,86,86,78,94,86,3
10913317,64,84,80,72,80,81,1
10913318,72,76,81,60,84,73,2
10913319,48,58,56,53,42,47,1
10913320,54,54,68,51,46,58,3
10913321,52,51,58,36,54,46,3
10913322,72,68,69,68,70,62,1
10913323,82,82,86,74,80,91,1
10913324,53,48,60,46,68,53,2
10913325,84,70,84,75,82,93,3
10913326,74,68,75,45,68,64,2
10913327,48,60,55,52,42,58,1
10913328,89,74,87,70,82,83,3
10913329,70,70,72,53,54,64,1
10913330,8,18,16,26,40,0,3
10913331,51,69,70,48,64,64,3
10913332,78,80,80,60,72,75,1
10913333,72,86,73,66,76,82,1
10913334,58,14,26,18,26,13,2
10913335,51,55,60,36,52,46,3
10913336,72,61,70,48,50,54,3
10913337,80,84,84,67,74,78,1
10913401,82,78,81,54,82,80,2
10913402,53,53,45,53,48,49,1
10913403,81,78,85,51,74,75,2
10913404,78,70,71,80,88,80,1
10913405,79,72,80,66,64,64,1
10913406,65,68,66,60,62,65,1
10913407,76,82,88,64,86,83,3
10913408,64,54,76,53,72,63,2
10913409,72,76,73,60,64,67,1
10913410,86,82,74,68,58,61,1
10913411,45,56,65,34,38,60,3
10913412,74,55,74,51,54,64,2
10913413,56,52,60,40,48,60,3
10913414,84,90,91,80,88,90,1
10913415,58,65,72,49,60,60,3
10913416,79,65,81,68,66,78,3
10913417,73,80,80,46,70,61,2
10913418,38,47,60,46,46,60,1
10913419,59,62,75,48,62,71,3
10913421,72,56,76,60,58,72,3
10913422,86,76,84,63,88,81,2
10913423,75,80,86,63,74,79,3
10913424,42,52,63,54,70,64,3
10913425,71,60,76,58,58,71,3
10913426,85,79,84,51,70,69,2
10913427,62,42,63,49,68,60,2
10913428,80,70,79,60,64,56,3
10913429,67,46,71,52,58,65,2
10913430,77,48,70,55,58,69,2
10913431,55,62,60,51,54,60,1
10913432,76,60,65,44,74,46,2
10913433,78,82,84,73,70,81,1
10913434,60,66,72,42,58,64,3
10913435,65,73,79,68,82,83,1
10913436,61,29,60,53,50,60,2
