ID,X1,X2,X3,X4,X5,X6,cluster
10913301,68,40,42,28,8,22,2
10913302,11,28,17,38,8,26,3
10913303,84,56,76,92,24,95,3
10913304,68,28,68,52,12,75,3
10913305,34,32,60,34,8,60,3
10913306,72,60,83,80,44,90,3
10913308,63,64,66,62,28,69,1
10913309,76,56,81,78,44,89,3
10913310,72,60,69,66,40,82,1
10913311,32,24,-1,0,0,0,2
10913312,59,56,65,47,20,70,3
10913313,32,32,32,28,8,31,1
10913314,48,60,59,26,12,34,1
10913315,84,68,88,98,40,100,3
10913316,32,56,50,20,4,54,3
10913317,76,64,79,66,24,73,1
10913318,72,52,73,73,36,89,3
10913319,68,44,60,82,16,81,3
10913320,54,60,69,48,32,74,3
10913321,51,56,64,57,24,75,3
10913322,24,32,38,4,0,32,1
10913323,97,92,94,94,72,100,1
10913324,40,28,43,16,12,39,1
10913325,72,52,80,78,44,93,3
10913326,46,20,61,30,12,54,3
10913327,93,68,87,76,52,90,1
10913328,72,52,79,86,20,88,3
10913329,72,88,85,90,44,68,1
10913330,6,16,8,0,0,2,1
10913331,34,56,72,66,36,84,3
10913332,32,40,60,38,20,65,3
10913333,64,76,78,80,16,82,3
10913334,80,24,32,53,8,36,2
10913335,68,36,44,58,12,58,1
10913336,79,44,60,48,8,55,2
10913337,40,24,56,39,12,63,3
10913401,63,66,74,78,56,60,1
10913402,98,80,75,96,68,64,2
10913403,90,76,89,88,70,85,1
10913404,60,46,62,61,36,60,1
10913405,97,66,85,96,64,74,2
10913406,74,60,67,61,24,45,2
10913407,49,38,60,84,16,53,3
10913408,38,40,60,56,8,41,1
10913409,63,52,64,66,24,60,1
10913410,34,34,60,30,20,60,3
10913411,87,72,75,92,62,75,1
10913412,96,74,85,92,36,57,2
10913413,26,50,54,42,16,60,3
10913414,97,76,89,96,58,74,2
10913415,75,64,81,84,14,71,1
10913416,92,88,90,94,58,83,1
10913417,55,60,65,78,12,60,3
10913418,58,24,47,48,24,30,2
10913419,64,56,72,61,20,60,1
10913421,96,74,89,98,56,76,2
10913422,32,54,61,82,56,70,3
10913423,89,68,85,84,70,89,1
10913424,30,36,49,28,2,42,3
10913425,86,58,83,94,70,78,1
10913426,61,54,68,36,44,68,1
10913427,40,42,55,60,28,60,3
10913428,44,40,48,53,8,26,2
10913429,51,64,68,38,16,64,3
10913430,48,48,65,66,16,60,3
10913431,72,58,61,84,24,54,2
10913432,55,36,42,57,12,21,2
10913433,55,46,60,77,12,59,3
10913434,92,54,80,85,50,62,2
10913435,68,78,75,90,32,71,1
10913436,40,40,52,48,8,43,1
