ID,time1,time2,time3,time4,time5,time6
10913301,1,2,3,4,5,6
10913302,1,2,3,4,5,6
10913303,1,2,3,4,5,6
10913304,1,2,3,4,5,6
10913305,1,2,3,4,5,6
10913306,1,2,3,4,5,6
10913308,1,2,3,4,5,6
10913309,1,2,3,4,5,6
10913310,1,2,3,4,5,6
10913311,1,2,3,4,5,6
10913312,1,2,3,4,5,6
10913313,1,2,3,4,5,6
10913314,1,2,3,4,5,6
10913315,1,2,3,4,5,6
10913316,1,2,3,4,5,6
10913317,1,2,3,4,5,6
10913318,1,2,3,4,5,6
10913319,1,2,3,4,5,6
10913320,1,2,3,4,5,6
10913321,1,2,3,4,5,6
10913322,1,2,3,4,5,6
10913323,1,2,3,4,5,6
10913324,1,2,3,4,5,6
10913325,1,2,3,4,5,6
10913326,1,2,3,4,5,6
10913327,1,2,3,4,5,6
10913328,1,2,3,4,5,6
10913329,1,2,3,4,5,6
10913330,1,2,3,4,5,6
10913331,1,2,3,4,5,6
10913332,1,2,3,4,5,6
10913333,1,2,3,4,5,6
10913334,1,2,3,4,5,6
10913335,1,2,3,4,5,6
10913336,1,2,3,4,5,6
10913337,1,2,3,4,5,6
10913401,1,2,3,4,5,6
10913402,1,2,3,4,5,6
10913403,1,2,3,4,5,6
10913404,1,2,3,4,5,6
10913405,1,2,3,4,5,6
10913406,1,2,3,4,5,6
10913407,1,2,3,4,5,6
10913408,1,2,3,4,5,6
10913409,1,2,3,4,5,6
10913410,1,2,3,4,5,6
10913411,1,2,3,4,5,6
10913412,1,2,3,4,5,6
10913413,1,2,3,4,5,6
10913414,1,2,3,4,5,6
10913415,1,2,3,4,5,6
10913416,1,2,3,4,5,6
10913417,1,2,3,4,5,6
10913418,1,2,3,4,5,6
10913419,1,2,3,4,5,6
10913421,1,2,3,4,5,6
10913422,1,2,3,4,5,6
10913423,1,2,3,4,5,6
10913424,1,2,3,4,5,6
10913425,1,2,3,4,5,6
10913426,1,2,3,4,5,6
10913427,1,2,3,4,5,6
10913428,1,2,3,4,5,6
10913429,1,2,3,4,5,6
10913430,1,2,3,4,5,6
10913431,1,2,3,4,5,6
10913432,1,2,3,4,5,6
10913433,1,2,3,4,5,6
10913434,1,2,3,4,5,6
10913435,1,2,3,4,5,6
10913436,1,2,3,4,5,6
